Year,Link,Table Title,Category,Rank,Player,Country,MATCH RECORD,Prize,Team Link,Pokémon 1,Pokémon 2,Pokémon 3,Pokémon 4,Pokémon 5,Pokémon 6,Forms 1,Forms 2,Forms 3,Forms 4,Forms 5,Forms 6
2010,https://www.vgcpedia.com/2010-pokemon-world-championships/,Table 1,Junior/Senior,3,Isao Yoshioka🇯🇵,,–,,,Kyogre,Groudon,Dialga,Ludicolo,Tyranitar,Cresselia,Kyogre,Groudon,Dialga,Ludicolo,Tyranitar,Cresselia
2010,https://www.vgcpedia.com/2010-pokemon-world-championships/,Table 1,Junior/Senior,4,Wataru Onishi🇯🇵,,–,,,Kyogre,Groudon,Dialga,Snorlax,Togekiss,Cresselia,Kyogre,Groudon,Dialga,Snorlax,Togekiss,Cresselia
2010,https://www.vgcpedia.com/2010-pokemon-world-championships/,Table 1,Junior/Senior,5,Huy Ha🇺🇸,,–,,,Groudon,Dialga,Mewtwo,Abomasnow,Jumpluff,Parasect,Groudon,Dialga,Mewtwo,Abomasnow,Jumpluff,Parasect
2010,https://www.vgcpedia.com/2010-pokemon-world-championships/,Table 1,Junior/Senior,6,Takushi Morushima🇯🇵,,–,,,Kyogre,Groudon,Lanturn,Rotom,Togekiss,Cresselia,Kyogre,Groudon,Lanturn,Rotom mow,Togekiss,Cresselia
2010,https://www.vgcpedia.com/2010-pokemon-world-championships/,Table 1,Junior/Senior,7,Alan Schambers🇺🇸,,–,,,Groudon,Palkia,Ho-oh,Abomasnow,Latios,Tyranitar,Groudon,Palkia,Ho-Oh,Abomasnow,Latios,Tyranitar
2010,https://www.vgcpedia.com/2010-pokemon-world-championships/,Table 1,Junior/Senior,8,Ryan Schambers🇺🇸,,–,,,Palkia,Mewtwo,Ho-oh,Abomasnow,Toxicroak,Giratina,Palkia,Mewtwo,Ho-Oh,Abomasnow,Toxicroak,Giratina
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 1,Junior/Senior,1,Brian Hough🇺🇸,,–,,,Thundurus,Terrakion,Hydreigon,Musharna,Amoonguss,Mienshao,Thundurus,Terrakion,Hydreigon,Musharna,Amoonguss,Mienshao
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 1,Junior/Senior,1,Kamran Jahadi🇺🇸,,–,,,Thundurus,Tornadus,Terrakion,Jellicent,Chandelure,Amoonguss,Thundurus,Tornadus,Terrakion,Jellicent,Chandelure,Amoonguss
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 1,Junior/Senior,2,Ian Mclaughin🇺🇸,,–,,,Terrakion,Whimsicott,Zoroark,Jellicent,Chandelure,Amoonguss,Terrakion,Whimsicott,Zoroark,Jellicent,Chandelure,Amoonguss
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 1,Junior/Senior,2,Sejun Park🇰🇷,,–,,,Thundurus,Tornadus,Conkeldurr,Scrafty,Chandelure,Amoonguss,Thundurus,Tornadus,Conkeldurr,Scrafty,Chandelure,Amoonguss
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 1,Junior/Senior,3,Enosh Sachar🇺🇸,,–,,,Thundurus,Tornadus,Terrakion,Jellicent,Hydreigon,Amoonguss,Thundurus,Tornadus,Terrakion,Jellicent,Hydreigon,Amoonguss
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 1,Junior/Senior,4,Shota Yamamoto🇯🇵,,–,,,Thundurus,Landorus,Jellicent,Scrafty,Hydreigon,Amoonguss,Thundurus,Landorus,Jellicent,Scrafty,Hydreigon,Amoonguss
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 1,Junior/Senior,4,Shota Yamamoto🇯🇵,,–,,,Thundurus,Landorus,Jellicent,Scrafty,Hydreigon,Amoonguss,Thundurus,Landorus,Jellicent,Scrafty,Hydreigon,Amoonguss
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 2,Masters,1,Ray Rizzo🇺🇸,,–,,,Thundurus,Terrakion,Conkeldurr,Hydreigon,Gothitelle,Escavalier,Thundurus,Terrakion,Conkeldurr,Hydreigon,Gothitelle,Escavalier
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 2,Masters,2,Matteo Gini🇮🇹,,–,,,Thundurus,Tornadus,Scrafty,Haxorus,Krookodile,Eelektross,Thundurus,Tornadus,Scrafty,Haxorus,Krookodile,Eelektross
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 2,Masters,3,Matthew Coyle🇺🇸,,–,,,Thundurus,Tornadus,Scrafty,Terrakion,Chandelure,Samurott,Thundurus,Tornadus,Scrafty,Terrakion,Chandelure,Samurott
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 2,Masters,4,Rubén Puig🇪🇸,,–,,,Thundurus,Tornadus,Scrafty,Jellicent,Terrakion,Amoonguss,Thundurus,Tornadus,Scrafty,Jellicent,Terrakion,Amoonguss
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 2,Masters,5,Daniel Nolan🇬🇧,,–,,,Tornadus,Krookodile,Terrakion,Jellicent,Beheeyem,Amoonguss,Tornadus,Krookodile,Terrakion,Jellicent,Beheeyem,Amoonguss
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 2,Masters,6,Wolfe Glick🇺🇸,,–,,,Thundurus,Scrafty,Conkeldurr,Reuniclus,Cofagrigus,Emboar,Thundurus,Scrafty,Conkeldurr,Reuniclus,Cofagrigus,Emboar
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 2,Masters,7,Francesco Pardini🇮🇹,,–,,,Thundurus,Tornadus,Scrafty,Haxorus,Eelektross,Krookodile,Thundurus,Tornadus,Scrafty,Haxorus,Eelektross,Krookodile
2011,https://www.vgcpedia.com/2011-pokemon-world-championships/,Table 2,Masters,8,Albert Bos🇪🇸,,–,,,Thundurus,Tornadus,Scrafty,Jellicent,Haxorus,Amoonguss,Thundurus,Tornadus,Scrafty,Jellicent,Haxorus,Amoonguss
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/ ,Table 1,Junior/Senior,1,Toler Webb🇺🇸,,7-2,,,Ludicolo,Metagross,Rotom,Cresselia,Garchomp,Hydreigon,Ludicolo,Metagross,Rotom Heat,Cresselia,Garchomp,Hydreigon
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,2,Brian Hough🇺🇸,,–,,,Hitmontop,Tyranitar,Metagross,Hydreigon,Rotom,Sableye,Hitmontop,Tyranitar,Metagross,Hydreigon,Rotom Wash,Sableye
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,2,Jaime Martinez🇪🇸,,–,,,Thundurus,Hitmontop,Tyranitar,Metagross,Swampert,Latios,Thundurus,Hitmontop,Tyranitar,Metagross,Swampert,Latios
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,3,Brendan Zheng🇺🇸,,–,,,Thundurus,Hitmontop,Tyranitar,Garchomp,Scizor,Cresselia,Thundurus,Hitmontop,Tyranitar,Garchomp,Scizor,Cresselia
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,3,Nitesh Manem🇨🇦,,–,,,Metagross,Gastrodon,Heatran,Cresselia,Gyarados,Amoonguss,Metagross,Gastrodon,Heatran,Cresselia,Gyarados,Amoongus
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,4,Henry Maxon🇺🇸,,–,,,Thundurus,Hitmontop,Tyranitar,Volcarona,Excadrill,Latios,Thundurus,Hitmontop,Tyranitar,Volcarona,Excadrill,Latios
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,5,Kamran Jahadi🇺🇸,,–,,,Thundurus,Hitmontop,Tyranitar,Cresselia,Garchomp,Scizor,Thundurus,Hitmontop,Tyranitar,Cresselia,Garchomp,Scizor
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,6,Gavin Michaels🇺🇸,,–,,,Tyranitar,Zapdos,Gallade,Bronzong,Jellicent,Amoonguss,Tyranitar,Zapdos,Gallade,Bronzong,Jellicent,Amoongus
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,8,*Santa Ito🇯🇵,,–,,,Politoed,Infernape,Latios,Latios,,,Politoed,Infernape,Latios,Latios,,
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/ ,Table 2,Masters,1,Ray Rizzo🇺🇸,,9-0,,,Tyranitar,Metagross,Rotom,Cresselia,Garchomp,Hydreigon,Tyranitar,Metagross,Rotom Wash,Cresselia,Garchomp,Hydreigon
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 2,Masters,3,Abel Sanz🇪🇸,,–,,,Thundurus,Hitmontop,Tyranitar,Metagross,Cresselia,Latios,Thundurus,Hitmontop,Tyranitar,Metagross,Cresselia,Latios
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 2,Masters,5,Sejun Park🇰🇷,,–,,,Thundurus,Hitmontop,Bisharp,Cresselia,Hydreigon,Garchomp,Thundurus,Hitmontop,Bisharp,Cresselia,Hydreigon,Garchomp
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 2,Masters,6,Matthew Coyle🇺🇸,,–,,,Thundurus,Politoed,Ludicolo,Chandelure,Scizor,Latios,Thundurus,Politoed,Ludicolo,Chandelure,Scizor,Latios
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 2,Masters,7,Guillermo Castilla🇪🇸,,–,,,Thundurus,Hitmontop,Tyranitar,Swampert,Latios,Scizor,Thundurus,Hitmontop,Tyranitar,Swampert,Latios,Scizor
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 2,Masters,8,Jumpei Yamamoto🇯🇵,,–,,,Tyranitar,Salamence,Metagross,Rotom,Cresselia,Garchomp,Tyranitar,Salamence,Metagross,Rotom Wash,Cresselia,Garchomp
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,1,Abram Burrows🇺🇸,,9-0,,,Thundurus,Landorus,Hitmontop,Tyranitar,Volcarona,Cloyster,Thundurus,Landorus,Hitmontop,Tyranitar,Volcarona,Cloyster
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,4,Kippei Takaki🇯🇵,,–,,,Hitmontop,Tyranitar,Metagross,Zapdos,Gastrodon,Cresselia,Hitmontop,Tyranitar,Metagross,Zapdos,Gastrodon,Cresselia
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 1,Junior/Senior,7,Aaron Zheng🇺🇸,,–,,,Thundurus,Hitmontop,Terrakion,Heatran,Exeggutor,Cresselia,Thundurus,Hitmontop,Terrakion,Heatran,Exeggutor,Cresselia
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 2,Masters,2,Wolfe Glick🇺🇸,,–,,,Thundurus,Hitmontop,Terrakion,Heatran,Exeggutor,Cresselia,Thundurus,Hitmontop,Terrakion,Heatran,Exeggutor,Cresselia
2012,https://www.vgcpedia.com/2012-pokemon-world-championships/,Table 2,Masters,4,Joe Pulkowski🇺🇸,,–,,,Tyranitar,Salamence,Excadrill,Rotom,Gastrodon,Cresselia,Tyranitar,Salamence,Excadrill,Rotom Heat,Gastrodon,Cresselia
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,1,Brendan Zheng🇺🇸,,9-0,,,Rotom,Heatran,Escavalier,Conkeldurr,Cresselia,Jellicent,Rotom Wash,Heatran,Escavalier,Conkeldurr,Cresselia,Jellicent
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,1,Hayden McTavish🇺🇸,,7-2,,,Thundurus,Rotom,Heatran,Machamp,Cresselia,Scizor,Thundurus,Rotom Wash,Heatran,Machamp,Cresselia,Scizor
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,3,Haruka Narita🇯🇵,,–,,,Thundurus,Liepard,Breloom,Latias,Cresselia,Amoonguss,Thundurus,Liepard,Breloom,Latias,Cresselia,Amoongus
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,8,Paul Chua🇺🇸,,–,,,Tyranitar,Garchomp,Bisharp,Amoonguss,Cresselia,Gyarados,Tyranitar,Garchomp,Bisharp,Amoonguss,Cresselia,Gyarados
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 2,Masters,1,Arash Ommati🇮🇹,,8-1,,,Tornadus,Mamoswine,Conkeldurr,Heatran,Amoonguss,Latios,Tornadus,Mamoswine,Conkeldurr,Heatran,Amoonguss,Larios
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 2,Masters,7,Liugi Lo Giudice🇮🇹,,–,,,Landorus,Thundurus,Tyranitar,Scizor,Cresselia,Garchomp,Landorus therian,Thundurus,Tyranitar,Scizor,Cresselia,Garchomp
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,2,Ben Hickey🇺🇸,,–,,,Tornadus,Ludicolo,Metagross,Hydreigon,Rhyperior,Cresselia,Tornadus,Ludicolo,Metagross,Hydreigon,Rhyperior,Cresselia
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,2,Fuko Nakamichi🇯🇵,,–,,,Thundurus,Politoed,Kingdra,Weavile,Weavile,Virizion,Thundurus,Politoed,Kingdra,Weavile,Weavile,Virizion
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,3,Cameron Swan🇺🇸,,–,,,Landorus,Thundurus,Volcarona,Cloyster,Breloom,Bisharp,Landorus therian,Thundurus,Volcarona,Cloyster,Breloom,Bisharp
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,4,Brian Hough🇺🇸,,–,,,Tyranitar,Terrakion,Whimsicott,Gyarados,Zapdos,Cresselia,Tyranitar,Terrakion,Whimsicott,Gyarados,Zapdos,Cresselia
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,4,Ryusei Yasue🇯🇵,,–,,,Landorus,Scrafty,Heatran,Sableye,Latias,Cresselia,Landorus therian,Scrafty,Heatran,Sableye,Latias,Cresselia
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,5,Markus Liu🇩🇪,,–,,,Rotom,Garchomp,Hydreigon,Conkeldurr,Bisharp,Cresselia,Rotom Wash,Garchomp,Hydreigon,Conkeldurr,Bisharp,Cresselia
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,6,Mark McQuillan🇬🇧,,–,,,Thundurus,Scrafty,Heatran,Swampert,Latios,Togekiss,Thundurus,Scrafty,Heatran,Swampert,Latios,Togekiss
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 1,Junior/Senior,7,Alex Gómez🇪🇸,,–,,,Thundurus,Landorus,Scrafty,Suicune,Heatran,Cresselia,Thundurus,Landorus therian,Scrafty,Suicune,Heatran,Cresselia
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 2,Masters,2,Ryosuke Kosuge🇯🇵,,–,,,Landorus,Thundurus,Tyranitar,Conkeldurr,Heatran,Cresselia,Landorus therian,Thundurus,Tyranitar,Conkeldurr,Heatran,Cresselia
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 2,Masters,3,Aaron Zheng🇺🇸,,–,,,Landorus,Tyranitar,Rotom,Conkeldurr,Heatran,Cresselia,Landorus therian,Tyranitar,Rotom Wash,Conkeldurr,Heatran,Cresselia
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 2,Masters,4,Benjamin Gold🇬🇧,,–,,,Scrafty,Jellicent,Volcarona,Abomasnow,Rhydon,Latios,Scrafty,Jellicent,Volcarona,Abomasnow,Rhydon,Latios
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 2,Masters,5,Sejun Park🇰🇷,,–,,,Tornadus,Scrafty,Jellicent,Abomasnow,Marowak,Magmar,Tornadus,Scrafty,Jellicent,Abomasnow,Marowak,Magmar
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 2,Masters,6,Enosh Sachar🇺🇸,,–,,,Tornadus,Hitmontop,Jellicent,Excadrill,Amoonguss,Latios,Tornadus,Hitmontop,Jellicent,Excadrill,Amoonguss,Latios
2013,https://www.vgcpedia.com/2013-pokemon-world-championships/,Table 2,Masters,8,Matthias Helmholdt🇩🇪,,–,,,Landorus,Terrakion,Volcarona,Hydreigon,Sableye,Amoonguss,Landorus,Terrakion,Volcarona,Hydreigon,Sableye,Amoonguss
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 1,Junior/Senior,1,Kota Yamamoto🇯🇵,,8-1,,,Kangaskhan,Gardevoir,Zapdos,Aegislash,Garchomp,Hydreigon,Mega Kangaskhan,Gardevoir,Zapdos,Aegislash shield,Garchomp,Hydreigon
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 1,Junior/Senior,1,Nikolai Zielinski🇺🇸,,8-1,,,Mawile,Tyranitar,Rotom,Hydreigon,Gengar,Garchomp,Mega mawile,Tyranitar,Rotom Wash,Hydreigon,Gengar,Garchomp
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 1,Junior/Senior,2,London Swan🇺🇸,,–,,,Kangaskhan,Gardevoir,Salamence,Rotom,Aegislash,Garchomp,Mega Kangaskhan,Gardevoir,Salamence,Rotom Wash,Aegislash shield,Garchomp
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 1,Junior/Senior,2,Mark Mcquillan🇬🇧,,–,,,Kangaskhan,Rotom,Staraptor,Lapras,Aegislash,Garchomp,Mega Kangaskhan,Rotom Heat,Staraptor,Lapras,Aegislash shield,Garchomp
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 1,Junior/Senior,3,Eric Rios🇪🇸,,–,,,Tyranitar,Rotom,Salamence,Aegislash,Blastoise,Amoonguss,Mega Tyranitar,Rotom Heat,Salamence,Aegislash shield,Mega Blastoise,Amoongus
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 1,Junior/Senior,3,Haruka Narita🇯🇵,,–,,,Manectric,Politoed,Ludicolo,Tyranitar,Talonflame,Amoonguss,Mega manectric,Politoed,Ludicolo,Tyranitar,Talonflame,Amoonguss
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 1,Junior/Senior,4,Ian Mclaughin🇺🇸,,–,,,Mawile,Lucario,Politoed,Ludicolo,Talonflame,Gothitelle,Mega mawile,Mega-Lucario,Politoed,Ludicolo,Talonflame,Gothitelle
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 1,Junior/Senior,4,Riku Miyoshi🇯🇵,,–,,,Manectric,Salamence,Rotom,Sableye,Meowstic,Amoonguss,Mega manectric,Salamence,Rotom Wash,Sableye,Meowstic,Amoonguss
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 2,Masters,1,Sejun Park🇰🇷,,8-1,,,Gyarados,Talonflame,Gothitelle,Gardevoir,Pachirisu,Garchomp,Mega Gyarados,Talonflame,Gothitelle,Gardevoir,Pachirisu,Garchomp
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 2,Masters,2,Jeudi Azzarelli🇺🇸,,–,,,Charizard,Lucario,Tyranitar,Rotom,Salamence,Garchomp,Mega-Charizard Y,Mega-Lucario,Tyranitar,Rotom mow,Salamence,Garchomp
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 2,Masters,3,Collin Heier🇺🇸,,–,,,Mawile,Conkeldurr,Tyranitar,Zapdos,Aegislash,Hydreigon,Mega mawile,Conkeldurr,Tyranitar,Zapdos,Aegislash shield,Hydreigon
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 2,Masters,4,Markus Liu🇩🇪,,–,,,Mawile,Venusaur,Rotom,Machamp,Azumarill,Hydreigon,Mega mawile,Mega-Venusaur,Rotom Heat,Machamp,Azumarill,Hydreigon
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 2,Masters,5,Ryosuke Kosuge🇯🇵,,–,,,Mawile,Charizard,Aerodactyl,Mamoswine,Garchomp,Hydreigon,Mega mawile,Mega-Charizard Y,Aerodactyl,Mamoswine,Garchomp,Hydreigon
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 2,Masters,6,Miguel Martí de la Torre🇪🇸,,–,,,Mawile,Rotom,Tyranitar,Zapdos,Aegislash,Garchomp,Mega mawile,Rotom Heat,Tyranitar,Zapdos,Aegislash shield,Garchomp
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 2,Masters,7,Lee Provost🇬🇧,,–,,,Mawile,Tyranitar,Zapdos,Politoed,Ludicolo,Garchomp,Mega mawile,Tyranitar,Zapdos,Politoed,Ludicolo,Garchomp
2014,https://www.vgcpedia.com/2014-pokemon-world-championships/,Table 2,Masters,8,Dayne O’Meara🇦🇺,,–,,,Lucario,Talonflame,Staraptor,Politoed,Lapras,Raichu,Mega-Lucario,Talonflame,Staraptor,Politoed,Lapras,Raichu
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,1,Kotone Yasue🇯🇵,,4-2,,,Gardevoir,Landorus,Thundurus,Tyranitar,Heatran,Amoonguss,Mega-Gardevoir,Landorus therian,Thundurus,Tyranitar,Heatran,Amoonguss
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,1,Mark McQuillan🇬🇧,,5-2,,,Charizard,Landorus,Machamp,Sylveon,Heatran,Cresselia,Mega-Charizard Y,Landorus therian,Machamp,Sylveon,Heatran,Cresselia
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,2,Koki Honda🇯🇵,,6-1,,,Kangaskhan,Landorus,Zapdos,Sylveon,Heatran,Aegislash,Mega Kangaskhan,Landorus therian,Zapdos,Sylveon,Heatran,Aegislash shield
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,2,Ryan Jaehyun Park🇰🇷,,6-0,,,Charizard,Landorus,Terrakion,Rotom,Cresselia,Aegislash,Mega-Charizard Y,Landorus therian,Terrakion,Rotom Wash,Cresselia,Aegislash shield
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,3,Kylie Chua🇺🇸,,5-2,,,Kangaskhan,Landorus,Thundurus,Sylveon,Heatran,Milotic,Mega Kangaskhan,Landorus therian,Thundurus,Sylveon,Heatran,Milotic
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,3,Shu Harasaki🇯🇵,,5-1,,,Kangaskhan,Mawile,Terrakion,Cresselia,Amoonguss,Aegislash,Mega Kangaskhan,Mega mawile,Terrakion,Cresselia,Amoonguss,Aegislash shield
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,4,Max Marjanović🇦🇹,,6-1,,,Kangaskhan,Arcanine,Hydreigon,Milotic,Ferrothorn,Togekiss,Mega Kangaskhan,Arcanine,Hydreigon,Milotic,Ferrothorn,Togekiss
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,4,Shuhei Tsukano🇯🇵,,5-1,,,Kangaskhan,Landorus,Thundurus,Suicune,Togekiss,Aegislash,Mega Kangaskhan,Landorus therian,Thundurus,Suicune,Togekiss,Aegislash shield
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,5,David Koutesh🇨🇿,,7-0,,,Kangaskhan,Landorus,Arcanine,Zapdos,Breloom,Aegislash,Mega Kangaskhan,Landorus therian,Arcanine,Zapdos,Breloom,Aegislash shield
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,6,Sebastian Escalante🇦🇷,,5-2,,,Kangaskhan,Landorus,Thundurus,Suicune,Breloom,Aegislash,Mega Kangaskhan,Landorus therian,Thundurus,Suicune,Breloom,Aegislash shield
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,7,Chien-Chien Tsai,,6-1,,,Gardevoir,Landorus,Suicune,Heatran,Gengar,Amoonguss,Mega-Gardevoir,Landorus therian,Suicune,Heatran,Gengar,Amoonguss
2015,https://www.vgcpedia.com/2015-pokemon-world-championships/,Table 1,Junior/Senior,8,Jake Skurchak,,5-2,,,Kangaskhan,Landorus,Thundurus,Volcarona,Milotic,Aegislash,Mega Kangaskhan,Landorus therian,Thundurus,Volcarona,Milotic,Aegislash shield
